post_id,user_id,text,label
p0001,u101,Wishing you all the best in your exams.,non-bullying
p0002,u102,"You’re a joke, nobody cares about you.",bullying
p0003,u103,"Happy birthday, hope you have a wonderful day!",non-bullying
p0004,u104,"Just disappear, nobody will miss you.",bullying
p0005,u105,Wishing you all the best in your exams.,non-bullying
p0006,u106,"You’re such a loser, nobody likes you.",bullying
p0007,u107,"Great job on your project, well done!",non-bullying
p0008,u108,"You're annoying, everyone hates you.",bullying
p0009,u109,Thanks for helping me yesterday!,non-bullying
p0010,u110,"You’re a joke, nobody cares about you.",bullying
p0011,u111,"Nice work team, proud of you!",non-bullying
p0012,u112,You're ugly and worthless.,bullying
p0013,u113,Congrats on your success! Keep shining.,non-bullying
p0014,u114,"You’re a joke, nobody cares about you.",bullying
p0015,u115,Congrats on your success! Keep shining.,non-bullying
p0016,u116,Why are you always so dumb?,bullying
p0017,u117,"Great job on your project, well done!",non-bullying
p0018,u118,"Just disappear, nobody will miss you.",bullying
p0019,u119,"Happy birthday, hope you have a wonderful day!",non-bullying
p0020,u120,Nobody wants to be around you.,bullying
p0021,u121,Congrats on your success! Keep shining.,non-bullying
p0022,u122,"You're annoying, everyone hates you.",bullying
p0023,u123,"Happy birthday, hope you have a wonderful day!",non-bullying
p0024,u124,You're nothing but a failure.,bullying
p0025,u125,"Happy birthday, hope you have a wonderful day!",non-bullying
p0026,u126,"Nobody respects you, just stop.",bullying
p0027,u127,"Nice work team, proud of you!",non-bullying
p0028,u128,"You’re such a loser, nobody likes you.",bullying
p0029,u129,"That was an amazing performance, bravo!",non-bullying
p0030,u130,"Pathetic, you should just quit.",bullying
p0031,u131,You are really talented and hardworking.,non-bullying
p0032,u132,You're nothing but a failure.,bullying
p0033,u133,Congrats on your success! Keep shining.,non-bullying
p0034,u134,Nobody wants to be around you.,bullying
p0035,u135,Wishing you all the best in your exams.,non-bullying
p0036,u136,"You're annoying, everyone hates you.",bullying
p0037,u137,"That was an amazing performance, bravo!",non-bullying
p0038,u138,"Just disappear, nobody will miss you.",bullying
p0039,u139,"Keep going, you’re doing amazing!",non-bullying
p0040,u140,You're nothing but a failure.,bullying
p0041,u141,"Happy birthday, hope you have a wonderful day!",non-bullying
p0042,u142,You're ugly and worthless.,bullying
p0043,u143,Congrats on your success! Keep shining.,non-bullying
p0044,u144,Nobody wants to be around you.,bullying
p0045,u145,Congrats on your success! Keep shining.,non-bullying
p0046,u146,"Just disappear, nobody will miss you.",bullying
p0047,u147,"Keep going, you’re doing amazing!",non-bullying
p0048,u148,"Just disappear, nobody will miss you.",bullying
p0049,u149,Wishing you all the best in your exams.,non-bullying
p0050,u150,"You’re a joke, nobody cares about you.",bullying
p0051,u151,Your positivity inspires everyone around you.,non-bullying
p0052,u152,Why are you always so dumb?,bullying
p0053,u153,"Great job on your project, well done!",non-bullying
p0054,u154,"You're annoying, everyone hates you.",bullying
p0055,u155,You are really talented and hardworking.,non-bullying
p0056,u156,You're nothing but a failure.,bullying
p0057,u157,Thanks for helping me yesterday!,non-bullying
p0058,u158,"You’re such a loser, nobody likes you.",bullying
p0059,u159,You are really talented and hardworking.,non-bullying
p0060,u160,"Just disappear, nobody will miss you.",bullying
p0061,u161,You are really talented and hardworking.,non-bullying
p0062,u162,"You’re such a loser, nobody likes you.",bullying
p0063,u163,You are really talented and hardworking.,non-bullying
p0064,u164,"You’re a joke, nobody cares about you.",bullying
p0065,u165,"That was an amazing performance, bravo!",non-bullying
p0066,u166,"You're annoying, everyone hates you.",bullying
p0067,u167,You are really talented and hardworking.,non-bullying
p0068,u168,"You’re a joke, nobody cares about you.",bullying
p0069,u169,Congrats on your success! Keep shining.,non-bullying
p0070,u170,You're ugly and worthless.,bullying
p0071,u171,"Happy birthday, hope you have a wonderful day!",non-bullying
p0072,u172,"Just disappear, nobody will miss you.",bullying
p0073,u173,Thanks for helping me yesterday!,non-bullying
p0074,u174,You're ugly and worthless.,bullying
p0075,u175,Wishing you all the best in your exams.,non-bullying
p0076,u176,Nobody wants to be around you.,bullying
p0077,u177,"Nice work team, proud of you!",non-bullying
p0078,u178,Nobody wants to be around you.,bullying
p0079,u179,"Great job on your project, well done!",non-bullying
p0080,u180,You're nothing but a failure.,bullying
p0081,u181,Thanks for helping me yesterday!,non-bullying
p0082,u182,"Nobody respects you, just stop.",bullying
p0083,u183,"That was an amazing performance, bravo!",non-bullying
p0084,u184,Nobody wants to be around you.,bullying
p0085,u185,"Keep going, you’re doing amazing!",non-bullying
p0086,u186,You're ugly and worthless.,bullying
p0087,u187,"Happy birthday, hope you have a wonderful day!",non-bullying
p0088,u188,"You’re such a loser, nobody likes you.",bullying
p0089,u189,"Happy birthday, hope you have a wonderful day!",non-bullying
p0090,u190,Nobody wants to be around you.,bullying
p0091,u191,Your positivity inspires everyone around you.,non-bullying
p0092,u192,You're nothing but a failure.,bullying
p0093,u193,"That was an amazing performance, bravo!",non-bullying
p0094,u194,Nobody wants to be around you.,bullying
p0095,u195,"Keep going, you’re doing amazing!",non-bullying
p0096,u196,Nobody wants to be around you.,bullying
p0097,u197,"Keep going, you’re doing amazing!",non-bullying
p0098,u198,"You're annoying, everyone hates you.",bullying
p0099,u199,"Happy birthday, hope you have a wonderful day!",non-bullying
p0100,u200,"You’re a joke, nobody cares about you.",bullying
p0101,u201,"Nice work team, proud of you!",non-bullying
p0102,u202,"Pathetic, you should just quit.",bullying
p0103,u203,"Nice work team, proud of you!",non-bullying
p0104,u204,"You’re a joke, nobody cares about you.",bullying
p0105,u205,Wishing you all the best in your exams.,non-bullying
p0106,u206,You're nothing but a failure.,bullying
p0107,u207,"Happy birthday, hope you have a wonderful day!",non-bullying
p0108,u208,"You're annoying, everyone hates you.",bullying
p0109,u209,Congrats on your success! Keep shining.,non-bullying
p0110,u210,"Just disappear, nobody will miss you.",bullying
p0111,u211,You are really talented and hardworking.,non-bullying
p0112,u212,You're nothing but a failure.,bullying
p0113,u213,"Nice work team, proud of you!",non-bullying
p0114,u214,You're nothing but a failure.,bullying
p0115,u215,"Great job on your project, well done!",non-bullying
p0116,u216,"You’re a joke, nobody cares about you.",bullying
p0117,u217,Congrats on your success! Keep shining.,non-bullying
p0118,u218,"You’re such a loser, nobody likes you.",bullying
p0119,u219,"Nice work team, proud of you!",non-bullying
p0120,u220,"Just disappear, nobody will miss you.",bullying
p0121,u221,"Happy birthday, hope you have a wonderful day!",non-bullying
p0122,u222,"You're annoying, everyone hates you.",bullying
p0123,u223,"Great job on your project, well done!",non-bullying
p0124,u224,"You’re a joke, nobody cares about you.",bullying
p0125,u225,"Keep going, you’re doing amazing!",non-bullying
p0126,u226,"Nobody respects you, just stop.",bullying
p0127,u227,"Happy birthday, hope you have a wonderful day!",non-bullying
p0128,u228,"You're annoying, everyone hates you.",bullying
p0129,u229,"That was an amazing performance, bravo!",non-bullying
p0130,u230,Why are you always so dumb?,bullying
p0131,u231,"Happy birthday, hope you have a wonderful day!",non-bullying
p0132,u232,You're ugly and worthless.,bullying
p0133,u233,You are really talented and hardworking.,non-bullying
p0134,u234,"Nobody respects you, just stop.",bullying
p0135,u235,You are really talented and hardworking.,non-bullying
p0136,u236,You're nothing but a failure.,bullying
p0137,u237,You are really talented and hardworking.,non-bullying
p0138,u238,"You’re such a loser, nobody likes you.",bullying
p0139,u239,Congrats on your success! Keep shining.,non-bullying
p0140,u240,Why are you always so dumb?,bullying
p0141,u241,Your positivity inspires everyone around you.,non-bullying
p0142,u242,"Nobody respects you, just stop.",bullying
p0143,u243,Congrats on your success! Keep shining.,non-bullying
p0144,u244,You're ugly and worthless.,bullying
p0145,u245,You are really talented and hardworking.,non-bullying
p0146,u246,"You're annoying, everyone hates you.",bullying
p0147,u247,Congrats on your success! Keep shining.,non-bullying
p0148,u248,"Just disappear, nobody will miss you.",bullying
p0149,u249,"That was an amazing performance, bravo!",non-bullying
p0150,u250,"You’re a joke, nobody cares about you.",bullying
p0151,u251,"Keep going, you’re doing amazing!",non-bullying
p0152,u252,Nobody wants to be around you.,bullying
p0153,u253,You are really talented and hardworking.,non-bullying
p0154,u254,"You’re a joke, nobody cares about you.",bullying
p0155,u255,Wishing you all the best in your exams.,non-bullying
p0156,u256,Why are you always so dumb?,bullying
p0157,u257,"Happy birthday, hope you have a wonderful day!",non-bullying
p0158,u258,"Pathetic, you should just quit.",bullying
p0159,u259,Congrats on your success! Keep shining.,non-bullying
p0160,u260,"You're annoying, everyone hates you.",bullying
p0161,u261,"That was an amazing performance, bravo!",non-bullying
p0162,u262,"You’re a joke, nobody cares about you.",bullying
p0163,u263,"That was an amazing performance, bravo!",non-bullying
p0164,u264,"You’re a joke, nobody cares about you.",bullying
p0165,u265,Wishing you all the best in your exams.,non-bullying
p0166,u266,"Nobody respects you, just stop.",bullying
p0167,u267,Your positivity inspires everyone around you.,non-bullying
p0168,u268,You're nothing but a failure.,bullying
p0169,u269,"Great job on your project, well done!",non-bullying
p0170,u270,Why are you always so dumb?,bullying
p0171,u271,Congrats on your success! Keep shining.,non-bullying
p0172,u272,"Pathetic, you should just quit.",bullying
p0173,u273,Congrats on your success! Keep shining.,non-bullying
p0174,u274,Why are you always so dumb?,bullying
p0175,u275,"Happy birthday, hope you have a wonderful day!",non-bullying
p0176,u276,"You're annoying, everyone hates you.",bullying
p0177,u277,Congrats on your success! Keep shining.,non-bullying
p0178,u278,"You’re a joke, nobody cares about you.",bullying
p0179,u279,"That was an amazing performance, bravo!",non-bullying
p0180,u280,You're ugly and worthless.,bullying
p0181,u281,"That was an amazing performance, bravo!",non-bullying
p0182,u282,Why are you always so dumb?,bullying
p0183,u283,Wishing you all the best in your exams.,non-bullying
p0184,u284,"Nobody respects you, just stop.",bullying
p0185,u285,Wishing you all the best in your exams.,non-bullying
p0186,u286,Why are you always so dumb?,bullying
p0187,u287,Thanks for helping me yesterday!,non-bullying
p0188,u288,Nobody wants to be around you.,bullying
p0189,u289,Congrats on your success! Keep shining.,non-bullying
p0190,u290,"You’re such a loser, nobody likes you.",bullying
p0191,u291,"Great job on your project, well done!",non-bullying
p0192,u292,"You’re a joke, nobody cares about you.",bullying
p0193,u293,"Keep going, you’re doing amazing!",non-bullying
p0194,u294,"You're annoying, everyone hates you.",bullying
p0195,u295,"That was an amazing performance, bravo!",non-bullying
p0196,u296,Why are you always so dumb?,bullying
p0197,u297,Congrats on your success! Keep shining.,non-bullying
p0198,u298,You're nothing but a failure.,bullying
p0199,u299,Your positivity inspires everyone around you.,non-bullying
p0200,u300,Nobody wants to be around you.,bullying
p0201,u301,"Great job on your project, well done!",non-bullying
p0202,u302,"You’re a joke, nobody cares about you.",bullying
